#HDR ms,ax,ay,az,mag,hp_abs,rms,label
405698,0.0576,-0.0188,1.0188,1.0206,0.0041,0.0028,CALM
405708,0.0576,-0.0166,1.0159,1.0176,0.0011,0.0027,CALM
405718,0.0581,-0.0232,1.0129,1.0149,0.0016,0.0024,CALM
405728,0.0601,-0.0195,1.0142,1.0161,0.0003,0.0023,CALM
405738,0.0598,-0.0249,1.0054,1.0075,0.0087,0.0028,CALM
405748,0.0586,-0.0225,1.0168,1.0188,0.0025,0.0029,CALM
405758,0.0564,-0.0183,1.0107,1.0125,0.0037,0.003,CALM
405768,0.0591,-0.022,1.0166,1.0186,0.0023,0.0029,CALM
405778,0.0566,-0.0225,1.0149,1.0167,0.0005,0.0028,CALM
405788,0.0571,-0.0239,1.011,1.0129,0.0032,0.0029,CALM
405798,0.0593,-0.0264,1.0154,1.0175,0.0013,0.0028,CALM
405808,0.0542,-0.0222,1.0171,1.0188,0.0025,0.0028,CALM
405818,0.0615,-0.0198,1.0178,1.0199,0.0035,0.0028,CALM
405828,0.0554,-0.0276,1.0134,1.0153,0.001,0.0028,CALM
405838,0.0564,-0.0227,1.0095,1.0114,0.0048,0.003,CALM
405848,0.0588,-0.0239,1.0122,1.0142,0.0019,0.0029,CALM
405858,0.0566,-0.0237,1.0042,1.006,0.0098,0.0035,CALM
405868,0.0601,-0.0198,1.0154,1.0173,0.0015,0.0035,CALM
405878,0.0618,-0.022,1.0154,1.0175,0.0016,0.0035,CALM
405888,0.0613,-0.0198,1.0156,1.0177,0.0017,0.0035,CALM
405898,0.0596,-0.0156,1.0176,1.0194,0.0034,0.0035,CALM
405908,0.0596,-0.0129,1.0159,1.0177,0.0016,0.0035,CALM
405918,0.0608,-0.0186,1.019,1.021,0.0048,0.0037,CALM
405928,0.0576,-0.0129,1.0085,1.0103,0.0058,0.0038,CALM
405938,0.0557,-0.0193,1.01,1.0117,0.0042,0.0039,CALM
405948,0.0571,-0.0188,1.0127,1.0145,0.0014,0.0038,CALM
405958,0.0618,-0.0188,1.0122,1.0143,0.0016,0.0038,CALM
405968,0.0608,-0.0229,1.0151,1.0172,0.0013,0.0038,CALM
405978,0.0569,-0.0212,1.0125,1.0143,0.0016,0.0038,CALM
405988,0.0574,-0.0198,1.0122,1.014,0.0018,0.0034,CALM
405998,0.0579,-0.0247,1.01,1.012,0.0037,0.0034,CALM
406008,0.0571,-0.021,1.0103,1.0121,0.0035,0.0034,CALM
406018,0.0547,-0.0205,1.0103,1.0119,0.0035,0.0035,CALM
406028,0.0605,-0.0222,1.0164,1.0184,0.0029,0.0035,CALM
406038,0.062,-0.0247,1.012,1.0142,0.0013,0.0035,CALM
406048,0.0566,-0.0234,1.0154,1.0172,0.0017,0.0035,CALM
406059,0.0593,-0.0176,1.0171,1.019,0.0033,0.0035,CALM
406068,0.0586,-0.0203,1.0183,1.0202,0.0044,0.0035,CALM
406078,0.0542,-0.0198,1.012,1.0136,0.0021,0.0036,CALM
406088,0.0554,-0.0217,1.0112,1.013,0.0027,0.0035,CALM
406098,0.0564,-0.0232,1.0129,1.0148,0.0008,0.0035,CALM
406108,0.0598,-0.0173,1.0132,1.0151,0.0005,0.0028,CALM
406118,0.0588,-0.0205,1.0149,1.0168,0.0012,0.0028,CALM
406128,0.0583,-0.0178,1.0103,1.0121,0.0034,0.0029,CALM
406138,0.0559,-0.0168,1.0144,1.0161,0.0005,0.0029,CALM
406148,0.0596,-0.0168,1.0144,1.0163,0.0007,0.0028,CALM
406158,0.0588,-0.0168,1.0122,1.0141,0.0015,0.0028,CALM
406168,0.0605,-0.0234,1.0132,1.0153,0.0003,0.0026,CALM
406178,0.0579,-0.0227,1.0171,1.019,0.0034,0.0025,CALM
406188,0.0613,-0.0198,1.0156,1.0177,0.002,0.0024,CALM
406198,0.0591,-0.022,1.0046,1.0066,0.0088,0.0029,CALM
406208,0.0574,-0.0151,1.0171,1.0188,0.0033,0.003,CALM
406218,0.0557,-0.0195,1.0154,1.0171,0.0015,0.003,CALM
406228,0.0554,-0.0237,1.0115,1.0133,0.0022,0.003,CALM
406238,0.0615,-0.0198,1.0088,1.0109,0.0045,0.0031,CALM
406248,0.0579,-0.0244,1.0149,1.0168,0.0014,0.003,CALM
406258,0.0591,-0.022,1.0144,1.0164,0.0009,0.003,CALM
406268,0.0574,-0.0212,1.0195,1.0214,0.0058,0.0031,CALM
406278,0.0583,-0.0193,1.0061,1.008,0.0074,0.0034,CALM
406288,0.0603,-0.0195,1.0112,1.0132,0.0021,0.0034,CALM
406298,0.0603,-0.0188,1.0137,1.0156,0.0003,0.0034,CALM
406308,0.0593,-0.0215,1.0122,1.0142,0.0011,0.0033,CALM
406318,0.0581,-0.0217,1.01,1.0119,0.0033,0.0033,CALM
406328,0.0618,-0.0222,1.0103,1.0124,0.0027,0.0033,CALM
406338,0.0571,-0.0222,1.0142,1.016,0.0009,0.0033,CALM
406348,0.0586,-0.0215,1.0125,1.0144,0.0007,0.0033,CALM
406358,0.061,-0.022,1.0142,1.0162,0.0011,0.0033,CALM
406368,0.0579,-0.0212,1.0142,1.016,0.0009,0.0033,CALM
406378,0.0608,-0.0168,1.012,1.0139,0.0012,0.0032,CALM
406388,0.0615,-0.0198,1.0112,1.0133,0.0018,0.0032,CALM
406398,0.0613,-0.0217,1.0132,1.0153,0.0002,0.0032,CALM
406408,0.0596,-0.0193,1.0139,1.0158,0.0008,0.0032,CALM
406418,0.0598,-0.0176,1.0205,1.0224,0.0071,0.0035,CALM
406428,0.0581,-0.0215,1.0149,1.0168,0.0014,0.0034,CALM
406438,0.0603,-0.0208,1.0115,1.0135,0.0018,0.0034,CALM
406448,0.0601,-0.0222,1.011,1.013,0.0022,0.003,CALM
406458,0.0596,-0.0193,1.0151,1.0171,0.0018,0.0029,CALM
406468,0.0571,-0.0215,1.0134,1.0153,0,0.0029,CALM
406478,0.0569,-0.0222,1.0159,1.0177,0.0023,0.0029,CALM
406488,0.0571,-0.02,1.0144,1.0162,0.0008,0.0028,CALM
406498,0.0564,-0.021,1.0178,1.0196,0.0041,0.0029,CALM
406508,0.0601,-0.0225,1.0166,1.0186,0.003,0.0029,CALM
406518,0.0598,-0.0251,1.0144,1.0165,0.0008,0.0027,CALM
406528,0.0605,-0.0215,1.0173,1.0194,0.0036,0.0024,CALM
406538,0.0615,-0.0176,1.0129,1.015,0.0008,0.0024,CALM
406548,0.0601,-0.0237,1.0154,1.0174,0.0017,0.0024,CALM
406558,0.0588,-0.0195,1.0205,1.0224,0.0064,0.0027,CALM
406568,0.062,-0.0217,1.011,1.0131,0.0028,0.0027,CALM
406578,0.0603,-0.0234,1.0132,1.0152,0.0006,0.0026,CALM
406588,0.0554,-0.0188,1.0129,1.0146,0.0012,0.0026,CALM
406598,0.0591,-0.0232,1.0134,1.0154,0.0004,0.0026,CALM
406608,0.0581,-0.0168,1.012,1.0138,0.002,0.0026,CALM
406618,0.0627,-0.0198,1.0071,1.0092,0.0063,0.0029,CALM
406628,0.061,-0.0244,1.0149,1.017,0.0014,0.0029,CALM
406638,0.0586,-0.0205,1.012,1.0139,0.0017,0.0029,CALM
406648,0.0603,-0.0188,1.0037,1.0056,0.0096,0.0035,CALM
406658,0.0605,-0.021,1.0137,1.0157,0.0004,0.0035,CALM
406668,0.0603,-0.0208,1.0137,1.0157,0.0004,0.0032,CALM
406678,0.0615,-0.0205,1.0137,1.0157,0.0005,0.0032,CALM
406688,0.0557,-0.0144,1.0186,1.0202,0.0047,0.0033,CALM
406699,0.0576,-0.0205,1.0151,1.017,0.0015,0.0033,CALM
406708,0.0588,-0.021,1.0132,1.0151,0.0004,0.0033,CALM
406718,0.0574,-0.0195,1.0112,1.013,0.0024,0.0033,CALM
406728,0.062,-0.0234,1.0239,1.0261,0.0103,0.0039,CALM
406738,0.0605,-0.0229,1.0159,1.0179,0.0021,0.0039,CALM
406748,0.0598,-0.02,1.0159,1.0178,0.002,0.0038,CALM
406758,0.062,-0.0242,1.0154,1.0176,0.0017,0.0038,CALM
406768,0.0613,-0.0237,1.0112,1.0134,0.0025,0.0038,CALM
406778,0.0603,-0.0215,1.0161,1.0181,0.0022,0.0038,CALM
406788,0.0571,-0.0208,1.0122,1.014,0.0018,0.0038,CALM
406798,0.0608,-0.0225,1.0132,1.0153,0.0006,0.0038,CALM
406808,0.0583,-0.02,1.0063,1.0082,0.0074,0.0038,CALM
406818,0.0557,-0.0203,1.0149,1.0166,0.001,0.0038,CALM
406828,0.0593,-0.02,1.0078,1.0098,0.0057,0.004,CALM
406838,0.0591,-0.0203,1.0142,1.0161,0.0006,0.004,CALM
406848,0.0576,-0.0242,1.0168,1.0188,0.0032,0.004,CALM
406858,0.0618,-0.0225,1.0186,1.0207,0.005,0.0041,CALM
406868,0.0603,-0.0217,1.0186,1.0206,0.0047,0.004,CALM
406878,0.0591,-0.0188,1.0112,1.0131,0.0027,0.0041,CALM
406888,-0.0029,-0.0007,1.0725,1.0725,0.055,0.0117,CALM
406898,0.072,-0.0205,1.0073,1.0101,0.0072,0.0117,CALM
406908,0.0613,-0.0254,1.0139,1.0161,0.0012,0.0117,CALM
406918,-0.009,-0.0034,1.0562,1.0562,0.0378,0.0139,CALM
406928,0.0203,-0.0347,1.176,1.1767,0.1535,0.0337,STRUCT
406938,0.0857,-0.0242,1.0308,1.0346,0.011,0.0337,STRUCT
406948,0.0654,-0.0325,1.0818,1.0843,0.0588,0.0357,STRUCT
